reaction_id	reactant_sbustructure	product_substructure
rxn_8495	[('double', '9', '10'), [('single', '8', '9')]]	[('double', '8', '9'), [('single', '10', '21')], [('single', '21', '22')], [('single', '9', '10')]]
epoxidation_l	[('double', '18', '19'), [('double', '7', '8')], [('double', '9', '10')], [('single', '10', '11')], [('single', '18', '20')], [('single', '21', '22')], [('single', '6', '21')]]	[('double', '10', '11'), [('double', '19', '20')], [('single', '18', '19')], [('single', '19', '21')], [('single', '7', '8')], [('single', '8', '6')], [('single', '9', '10')]]
leukotriene_c4_synthase_rxn	[('double', '21', '22'), [('single', '17', '15')], [('single', '20', '21')], [('single', '21', '23')]]	[('double', '20', '21'), [('double', '26', '27')], [('double', '29', '30')], [('double', '33', '34')], [('double', '41', '42')], [('single', '15', '36')], [('single', '18', '29')], [('single', '20', '22')], [('single', '22', '23')], [('single', '23', '24')], [('single', '24', '25')], [('single', '24', '26')], [('single', '26', '28')], [('single', '29', '31')], [('single', '31', '32')], [('single', '32', '33')], [('single', '33', '35')], [('single', '36', '37')], [('single', '36', '38')], [('single', '38', '39')], [('single', '39', '40')], [('single', '40', '41')], [('single', '41', '43')]]
lipoxygenase_rxn	[('double', '6', '7'), [('single', '7', '8')]]	[('double', '7', '8'), [('single', '21', '22')], [('single', '6', '21')], [('single', '6', '7')]]
epoxidation_e	[('double', '18', '19'), [('double', '8', '9')], [('single', '10', '21')], [('single', '18', '20')], [('single', '21', '22')], [('single', '9', '10')]]	[('double', '20', '21'), [('single', '12', '10')], [('single', '18', '19')], [('single', '19', '20')], [('single', '20', '22')], [('single', '8', '10')], [('single', '8', '9')]]
